"","Location_Easting_OSGR","Location_Northing_OSGR","Longitude","Latitude","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Day_of_Week","Local_Authority_.District.","X1st_Road_Class","X1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","X2nd_Road_Class","X2nd_Road_Number","Pedestrian_Crossing.Human_Control","Pedestrian_Crossing.Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident"
"Location_Easting_OSGR",1,-0.750375650681664,0.999935879067556,-0.753715844852936,0.393491082107982,0.0322834040069006,-0.0499674338768086,-0.424377024784455,-0.0040902301847371,0.389923759555173,-0.0937214716487246,-0.0405328933965323,0.0122742862325621,-0.156650237586321,0.0943938314161832,0.0365819872247965,0.0841988962097573,-0.000648060951731551,0.00241272643251955,0.156265095419204,0.00426234416421879,0.00747148167361172,-0.0148294056834842,-0.298104850715688,0.0647398504034627,-0.185616910936683,0.0055955236706307
"Location_Northing_OSGR",-0.750375650681664,1,-0.743708084350322,0.999984900717235,0.0441789209925603,-0.0716321606497124,0.0162345388205116,0.553543878139492,-0.00810212387450866,0.0479729825898151,0.0725888742040536,-0.0624139822995019,0.0274209657063146,0.0897525088416641,-0.0487199466734857,-0.0383779669085385,-0.0630098084145457,-0.0171546092364265,-0.00415101138289987,-0.0397217385588815,-0.040554653105433,-0.0168502670740455,-0.0324425755524551,0.112621610468125,-0.00373897733812232,0.193148529670342,-0.0244966945971966
"Longitude",0.999935879067556,-0.743708084350322,1,-0.747079890561745,0.39818478531968,0.031938085790544,-0.0505952005618213,-0.420637630378879,-0.00431626607024471,0.394536484510151,-0.0927417516853526,-0.0428539178885355,0.0128837763591576,-0.15838228324143,0.0946305835964621,0.0366364326686853,0.0844354169995266,-0.00133783391225549,0.00225814986337992,0.157005589100164,0.00334280713446929,0.00709624130142298,-0.0157586157919412,-0.30064386033904,0.0652278971369181,-0.186079292202249,0.00522540104510867
"Latitude",-0.753715844852936,0.999984900717235,-0.747079890561745,1,0.0397053588784463,-0.0711912070171352,0.0165618444614038,0.553592170972689,-0.0079971017608601,0.0435016931361152,0.0730044874645756,-0.061525904299898,0.0270733703159474,0.0895127155792288,-0.0492169083744004,-0.0382984265912943,-0.0632395565874587,-0.0170111070239029,-0.00414821237523179,-0.0410034488450733,-0.0402882489795604,-0.0168095022955725,-0.0320413166824752,0.113479849761353,-0.00438067124473394,0.19297089564476,-0.0243439642342453
"Police_Force",0.393491082107982,0.0441789209925603,0.39818478531968,0.0397053588784463,1,-0.122537922611154,-0.0680836519682026,0.0312158540347776,-0.0194238545238155,0.998309900295974,0.00910275566967239,-0.221659075857408,0.0399409989758254,0.115125234024556,0.0657716918084946,-0.0224012135073024,0.0609668208964236,-0.0335791715811168,-0.0193076124960178,0.230639932487601,-0.11300383872752,-0.0379343812439161,-0.103159436651209,0.0191724502781087,0.135538207075384,0.0471996985924976,-0.0345477248645025
"Accident_Severity",0.0322834040069006,-0.0716321606497124,0.031938085790544,-0.0711912070171352,-0.122537922611154,1,0.0117648715108437,-0.132303315531127,-0.00460116746429733,-0.118335364184464,0.0318924395253034,-0.00189598042117618,0.0393433043831883,-0.157518736445651,0.0391742644858433,0.0684295505919066,0.0560994149787316,0.0249270257276237,-0.0816148888290129,0.00845873781141955,0.0313627944106143,0.0116520758472965,0.00991679954791372,-0.0744611956841257,-0.0428588553427739,-0.0750509325629683,0.0535514058639774
"Number_of_Vehicles",-0.0499674338768086,0.0162345388205116,-0.0505952005618213,0.0165618444614038,-0.0680836519682026,0.0117648715108437,1,0.0449533877982235,-0.0357782778470848,-0.0687044707370761,-0.0546853923890812,0.06456221365814,-0.0940494788372717,0.085779380782039,0.0556071353122608,0.053596785929775,0.0662481150654359,0.00629825782947791,-0.0397742033717254,-0.0873594396744587,-0.0298203736097833,0.00775972111583176,-0.00713673436260539,0.0465694847294533,-0.120891186419272,0.0956109081215287,0.0131369906100709
"Number_of_Casualties",-0.424377024784455,0.553543878139492,-0.420637630378879,0.553592170972689,0.0312158540347776,-0.132303315531127,0.0449533877982235,1,-0.0407556114641206,-0.00631492139753569,0.0065444178503734,-0.0202912243808427,0.0180324027074634,0.367941302629433,-0.0489058177184691,-0.0449228242406785,-0.0720017297995159,-0.00471214022816643,-0.00258420606900372,-0.041627732892675,-0.0173026079827767,-0.00609221617646652,-0.014258952314441,0.0559371654836337,-0.0124120895704991,0.350282123162789,-0.0313444613583954
"Day_of_Week",-0.0040902301847371,-0.00810212387450866,-0.00431626607024471,-0.0079971017608601,-0.0194238545238155,-0.00460116746429733,-0.0357782778470848,-0.0407556114641206,1,-0.017169422466729,-0.0223045442055893,-0.00912475199153111,-0.0203838951631487,-0.00889366932841942,0.038445159127756,-0.0242677095845812,-0.00673873137743266,0.0475955846152415,0.0141879937537436,0.0731021578280596,0.0323353136114579,0.00908889148835823,-0.0073298622089962,0.00455230769545691,-0.0387873224783878,-0.0179600104431398,-0.0216375694670399
"Local_Authority_.District.",0.389923759555173,0.0479729825898151,0.394536484510151,0.0435016931361152,0.998309900295974,-0.118335364184464,-0.0687044707370761,-0.00631492139753569,-0.017169422466729,1,0.0118120772146861,-0.221586363993589,0.0387811545066817,0.0921876027024763,0.0679802908357158,-0.0185467902984495,0.0649173417135528,-0.0329510345470181,-0.0191897123008005,0.230919896017713,-0.112404018574229,-0.0382702293024917,-0.102479840078987,0.0197804758525132,0.135999278006154,0.0357218145242755,-0.0341647657879868
"X1st_Road_Class",-0.0937214716487246,0.0725888742040536,-0.0927417516853526,0.0730044874645756,0.00910275566967239,0.0318924395253034,-0.0546853923890812,0.0065444178503734,-0.0223045442055893,0.0118120772146861,1,-0.477690991253386,0.045025627442022,-0.0886807653351169,-0.0220876012131989,0.114145659933516,0.0586098940576988,-0.177916730141575,-0.022514138910833,-0.273610587015339,-0.0816622791520511,-0.0357441900030577,-0.014026576015963,-0.0125198589534387,0.00581925684219787,-0.0886059698440622,0.0174351193816909
"X1st_Road_Number",-0.0405328933965323,-0.0624139822995019,-0.0428539178885355,-0.061525904299898,-0.221659075857408,-0.00189598042117618,0.06456221365814,-0.0202912243808427,-0.00912475199153111,-0.221586363993589,-0.477690991253386,1,-0.109697167652031,0.0129166232209275,0.0198283790835397,-0.0642346242730507,-0.0814338868642168,0.186233725689745,0.0513747857325539,0.0719271192302486,0.0488000030156296,0.0111598237777858,0.0514958845357954,0.0492518555311688,-0.0335206712544282,0.139760546035876,-0.012717058532544
"Road_Type",0.0122742862325621,0.0274209657063146,0.0128837763591576,0.0270733703159474,0.0399409989758254,0.0393433043831883,-0.0940494788372717,0.0180324027074634,-0.0203838951631487,0.0387811545066817,0.045025627442022,-0.109697167652031,1,-0.147008484316066,0.123354522971826,0.0791668381608179,0.110544718702737,-0.0968474703845732,0.0133711864889981,0.0634625778911482,-0.0359207092990677,0.0291438286781624,-0.0364598425899077,0.0195592989770867,0.0278719075958474,0.0078938666875248,-0.0128898497045626
"Speed_limit",-0.156650237586321,0.0897525088416641,-0.15838228324143,0.0895127155792288,0.115125234024556,-0.157518736445651,0.085779380782039,0.367941302629433,-0.00889366932841942,0.0921876027024763,-0.0886807653351169,0.0129166232209275,-0.147008484316066,1,-0.120363349894456,-0.137849793575857,-0.15754769568486,-0.0128406043566037,-0.00354052037199778,-0.0562625336546322,0.0418820205413517,0.0484186393533674,0.0490426682117774,0.192879206351225,0.0127869474531005,0.28504530860122,-0.0338450384682365
"Junction_Detail",0.0943938314161832,-0.0487199466734857,0.0946305835964621,-0.0492169083744004,0.0657716918084946,0.0391742644858433,0.0556071353122608,-0.0489058177184691,0.038445159127756,0.0679802908357158,-0.0220876012131989,0.0198283790835397,0.123354522971826,-0.120363349894456,1,0.457779621321684,0.533609576646529,0.24479953681267,-0.00703079145557543,0.364615328189806,-0.00843552674388311,0.0368149701851332,-0.00434819299651186,0.000831790006937471,-0.0146391603917609,-0.0446272484146928,-0.0127510879760938
"Junction_Control",0.0365819872247965,-0.0383779669085385,0.0366364326686853,-0.0382984265912943,-0.0224012135073024,0.0684295505919066,0.053596785929775,-0.0449228242406785,-0.0242677095845812,-0.0185467902984495,0.114145659933516,-0.0642346242730507,0.0791668381608179,-0.137849793575857,0.457779621321684,1,0.88316515907197,-0.0128714000188699,0.0262612742003714,-0.183918388821613,-0.00409206647893209,-0.037034733313351,0.001373313728031,-0.0213095077037685,-0.0262399736300132,-0.0983295024521227,-0.019945599332016
"X2nd_Road_Class",0.0841988962097573,-0.0630098084145457,0.0844354169995266,-0.0632395565874587,0.0609668208964236,0.0560994149787316,0.0662481150654359,-0.0720017297995159,-0.00673873137743266,0.0649173417135528,0.0586098940576988,-0.0814338868642168,0.110544718702737,-0.15754769568486,0.533609576646529,0.88316515907197,1,-0.146157220522249,0.0272239650083852,-0.00158646702086132,-0.0256084852261989,-0.0180309548892537,-0.00508112357344311,0.00284612124496839,-0.00616833243085847,-0.117239705665968,-0.0348584288707554
"X2nd_Road_Number",-0.000648060951731551,-0.0171546092364265,-0.00133783391225549,-0.0170111070239029,-0.0335791715811168,0.0249270257276237,0.00629825782947791,-0.00471214022816643,0.0475955846152415,-0.0329510345470181,-0.177916730141575,0.186233725689745,-0.0968474703845732,-0.0128406043566037,0.24479953681267,-0.0128714000188699,-0.146157220522249,1,-0.0126317274434017,0.278202904654501,0.083646529027703,0.0924841814793037,0.0088682072367942,-0.00984012972215431,-0.029951372852142,0.102523392581829,0.0543247332892502
"Pedestrian_Crossing.Human_Control",0.00241272643251955,-0.00415101138289987,0.00225814986337992,-0.00414821237523179,-0.0193076124960178,-0.0816148888290129,-0.0397742033717254,-0.00258420606900372,0.0141879937537436,-0.0191897123008005,-0.022514138910833,0.0513747857325539,0.0133711864889981,-0.00354052037199778,-0.00703079145557543,0.0262612742003714,0.0272239650083852,-0.0126317274434017,1,-0.0151612903699878,-0.0183753766451507,-0.00778285777353065,-0.0133944984429876,-0.00293121178513073,-0.00472741850564603,-0.00444345273257617,-0.0127416969107571
"Pedestrian_Crossing.Physical_Facilities",0.156265095419204,-0.0397217385588815,0.157005589100164,-0.0410034488450733,0.230639932487601,0.00845873781141955,-0.0873594396744587,-0.041627732892675,0.0731021578280596,0.230919896017713,-0.273610587015339,0.0719271192302486,0.0634625778911482,-0.0562625336546322,0.364615328189806,-0.183918388821613,-0.00158646702086132,0.278202904654501,-0.0151612903699878,1,0.0332236753719125,0.042201732203242,-0.0269973736289519,0.0197340656601768,0.0197290738772617,-0.0012327243456395,0.010897103283472
"Light_Conditions",0.00426234416421879,-0.040554653105433,0.00334280713446929,-0.0402882489795604,-0.11300383872752,0.0313627944106143,-0.0298203736097833,-0.0173026079827767,0.0323353136114579,-0.112404018574229,-0.0816622791520511,0.0488000030156296,-0.0359207092990677,0.0418820205413517,-0.00843552674388311,-0.00409206647893209,-0.0256084852261989,0.083646529027703,-0.0183753766451507,0.0332236753719125,1,0.154577690260263,0.203884964440001,-0.009308374613883,-0.0365255446371431,-0.0254574746481615,-0.0442708113439109
"Weather_Conditions",0.00747148167361172,-0.0168502670740455,0.00709624130142298,-0.0168095022955725,-0.0379343812439161,0.0116520758472965,0.00775972111583176,-0.00609221617646652,0.00908889148835823,-0.0382702293024917,-0.0357441900030577,0.0111598237777858,0.0291438286781624,0.0484186393533674,0.0368149701851332,-0.037034733313351,-0.0180309548892537,0.0924841814793037,-0.00778285777353065,0.042201732203242,0.154577690260263,1,0.302944461213379,-0.0169289459834784,-0.0245682327618909,0.0425452157389041,0.077139386101333
"Road_Surface_Conditions",-0.0148294056834842,-0.0324425755524551,-0.0157586157919412,-0.0320413166824752,-0.103159436651209,0.00991679954791372,-0.00713673436260539,-0.014258952314441,-0.0073298622089962,-0.102479840078987,-0.014026576015963,0.0514958845357954,-0.0364598425899077,0.0490426682117774,-0.00434819299651186,0.001373313728031,-0.00508112357344311,0.0088682072367942,-0.0133944984429876,-0.0269973736289519,0.203884964440001,0.302944461213379,1,-0.0222211240016262,-0.00999215896454695,0.0310449204085734,-0.0859255646455395
"Special_Conditions_at_Site",-0.298104850715688,0.112621610468125,-0.30064386033904,0.113479849761353,0.0191724502781087,-0.0744611956841257,0.0465694847294533,0.0559371654836337,0.00455230769545691,0.0197804758525132,-0.0125198589534387,0.0492518555311688,0.0195592989770867,0.192879206351225,0.000831790006937471,-0.0213095077037685,0.00284612124496839,-0.00984012972215431,-0.00293121178513073,0.0197340656601768,-0.009308374613883,-0.0169289459834784,-0.0222211240016262,1,0.029235624389183,0.101652772157965,-0.00526387695838066
"Carriageway_Hazards",0.0647398504034627,-0.00373897733812232,0.0652278971369181,-0.00438067124473394,0.135538207075384,-0.0428588553427739,-0.120891186419272,-0.0124120895704991,-0.0387873224783878,0.135999278006154,0.00581925684219787,-0.0335206712544282,0.0278719075958474,0.0127869474531005,-0.0146391603917609,-0.0262399736300132,-0.00616833243085847,-0.029951372852142,-0.00472741850564603,0.0197290738772617,-0.0365255446371431,-0.0245682327618909,-0.00999215896454695,0.029235624389183,1,-0.0213421576477751,0.039316863090731
"Urban_or_Rural_Area",-0.185616910936683,0.193148529670342,-0.186079292202249,0.19297089564476,0.0471996985924976,-0.0750509325629683,0.0956109081215287,0.350282123162789,-0.0179600104431398,0.0357218145242755,-0.0886059698440622,0.139760546035876,0.0078938666875248,0.28504530860122,-0.0446272484146928,-0.0983295024521227,-0.117239705665968,0.102523392581829,-0.00444345273257617,-0.0012327243456395,-0.0254574746481615,0.0425452157389041,0.0310449204085734,0.101652772157965,-0.0213421576477751,1,0.00341542824393129
"Did_Police_Officer_Attend_Scene_of_Accident",0.0055955236706307,-0.0244966945971966,0.00522540104510867,-0.0243439642342453,-0.0345477248645025,0.0535514058639774,0.0131369906100709,-0.0313444613583954,-0.0216375694670399,-0.0341647657879868,0.0174351193816909,-0.012717058532544,-0.0128898497045626,-0.0338450384682365,-0.0127510879760938,-0.019945599332016,-0.0348584288707554,0.0543247332892502,-0.0127416969107571,0.010897103283472,-0.0442708113439109,0.077139386101333,-0.0859255646455395,-0.00526387695838066,0.039316863090731,0.00341542824393129,1
